Product ID,Category,Brand
P0001,Clothing,Raymond
P0002,Furniture,Godrej Interio
P0003,Electronics,Sony
P0004,Toys,Mattel
P0005,Electronics,Sony
P0006,Groceries,Tata Consumer
P0007,Furniture,Urban Ladder
P0008,Groceries,Aashirvaad
P0009,Furniture,Durian
P0010,Furniture,Durian
P0011,Electronics,Samsung
P0012,Furniture,Pepperfry
P0013,Toys,Mattel
P0014,Groceries,Amul
P0015,Electronics,Samsung
P0016,Clothing,Peter England
P0017,Furniture,Urban Ladder
P0018,Electronics,Sony
P0019,Groceries,Aashirvaad
P0020,Clothing,Levi's
P0001,Clothing,Allen Solly
P0002,Clothing,Levi's
P0003,Clothing,Levi's
P0004,Clothing,Allen Solly
P0005,Electronics,Sony
P0006,Groceries,India Gate
P0007,Furniture,Durian
P0008,Groceries,India Gate
P0009,Clothing,Allen Solly
P0010,Electronics,LG
P0011,Groceries,Amul
P0012,Toys,Funskool
P0013,Furniture,Pepperfry
P0014,Groceries,India Gate
P0015,Toys,Lego
P0016,Furniture,Nilkamal
P0017,Furniture,Nilkamal
P0018,Furniture,Durian
P0019,Toys,Funskool
P0020,Electronics,Lenovo
P0001,Clothing,Peter England
P0002,Furniture,Pepperfry
P0003,Furniture,Pepperfry
P0004,Toys,Funskool
P0005,Furniture,Pepperfry
P0006,Electronics,Samsung
P0007,Furniture,Godrej Interio
P0008,Groceries,Aashirvaad
P0009,Groceries,Nestlé
P0010,Toys,Funskool
P0011,Groceries,Amul
P0012,Toys,Hasbro
P0013,Furniture,Durian
P0014,Groceries,India Gate
P0015,Clothing,Peter England
P0016,Groceries,Nestlé
P0017,Clothing,Raymond
P0018,Electronics,Samsung
P0019,Groceries,India Gate
P0020,Furniture,Godrej Interio
P0001,Furniture,Pepperfry
P0002,Groceries,Amul
P0003,Furniture,Pepperfry
P0004,Groceries,Aashirvaad
P0005,Furniture,Urban Ladder
P0006,Clothing,Allen Solly
P0007,Groceries,Amul
P0008,Furniture,Durian
P0009,Clothing,FabIndia
P0010,Electronics,LG
P0011,Electronics,Lenovo
P0012,Groceries,Tata Consumer
P0013,Clothing,Allen Solly
P0014,Clothing,Allen Solly
P0015,Furniture,Nilkamal
P0016,Furniture,Godrej Interio
P0017,Clothing,Raymond
P0018,Furniture,Pepperfry
P0019,Furniture,Urban Ladder
P0020,Toys,Lego
P0001,Clothing,Levi's
P0002,Electronics,Sony
P0003,Clothing,Levi's
P0004,Electronics,Apple
P0005,Groceries,Tata Consumer
P0006,Electronics,Apple
P0007,Groceries,Tata Consumer
P0008,Furniture,Godrej Interio
P0009,Groceries,Tata Consumer
P0010,Clothing,FabIndia
P0011,Toys,Mattel
P0012,Clothing,Raymond
P0013,Toys,Mattel
P0014,Furniture,Urban Ladder
P0015,Electronics,Sony
P0016,Furniture,Urban Ladder
P0017,Furniture,Pepperfry
P0018,Clothing,Levi's
P0019,Clothing,Peter England
P0020,Clothing,Levi's
P0001,Clothing,Raymond
P0002,Furniture,Godrej Interio
P0003,Toys,Hasbro
P0004,Groceries,Aashirvaad
P0005,Toys,Lego
P0006,Furniture,Godrej Interio
P0007,Furniture,Godrej Interio
P0008,Groceries,Nestlé
P0009,Toys,Hamleys
P0010,Furniture,Nilkamal
P0011,Groceries,Amul
P0012,Furniture,Nilkamal
P0013,Furniture,Godrej Interio
P0014,Groceries,Aashirvaad
P0015,Clothing,Raymond
P0016,Furniture,Urban Ladder
P0017,Electronics,Lenovo
P0018,Electronics,LG
P0019,Electronics,Lenovo
P0020,Clothing,FabIndia
P0001,Furniture,Godrej Interio
P0002,Toys,Mattel
P0003,Furniture,Durian
P0004,Clothing,FabIndia
P0005,Groceries,India Gate
P0006,Toys,Hasbro
P0007,Groceries,Aashirvaad
P0008,Electronics,LG
P0009,Furniture,Godrej Interio
P0010,Clothing,Allen Solly
P0011,Electronics,Apple
P0012,Electronics,Apple
P0013,Electronics,Lenovo
P0014,Toys,Funskool
P0015,Electronics,LG
P0016,Clothing,FabIndia
P0017,Electronics,Sony
P0018,Furniture,Urban Ladder
P0019,Clothing,FabIndia
P0020,Clothing,Allen Solly
P0001,Clothing,FabIndia
P0002,Groceries,Amul
P0003,Clothing,Levi's
P0004,Groceries,Tata Consumer
P0005,Electronics,Sony
P0006,Electronics,LG
P0007,Electronics,LG
P0008,Groceries,Aashirvaad
P0009,Toys,Hasbro
P0010,Electronics,Apple
P0011,Furniture,Durian
P0012,Toys,Funskool
P0013,Furniture,Pepperfry
P0014,Furniture,Urban Ladder
P0015,Groceries,Tata Consumer
P0016,Clothing,Raymond
P0017,Clothing,Levi's
P0018,Electronics,Apple
P0019,Toys,Mattel
P0020,Furniture,Nilkamal
P0001,Furniture,Godrej Interio
P0002,Furniture,Durian
P0003,Groceries,Aashirvaad
P0004,Clothing,Allen Solly
P0005,Furniture,Durian
P0006,Furniture,Pepperfry
P0007,Groceries,Aashirvaad
P0008,Clothing,Raymond
P0009,Electronics,Samsung
P0010,Toys,Mattel
P0011,Clothing,Allen Solly
P0012,Clothing,Raymond
P0013,Groceries,Aashirvaad
P0014,Clothing,Levi's
P0015,Clothing,Raymond
P0016,Electronics,LG
P0017,Furniture,Godrej Interio
P0018,Groceries,India Gate
P0019,Clothing,Raymond
P0020,Electronics,Sony
P0001,Groceries,Tata Consumer
P0002,Clothing,Peter England
P0003,Clothing,FabIndia
P0004,Groceries,Tata Consumer
P0005,Groceries,Tata Consumer
P0006,Furniture,Urban Ladder
P0007,Groceries,Nestlé
P0008,Toys,Hasbro
P0009,Electronics,Lenovo
P0010,Groceries,Tata Consumer
P0011,Clothing,Raymond
P0012,Groceries,Aashirvaad
P0013,Clothing,Levi's
P0014,Toys,Lego
P0015,Electronics,Apple
P0016,Clothing,Peter England
P0017,Toys,Lego
P0018,Furniture,Godrej Interio
P0019,Electronics,Sony
P0020,Electronics,Lenovo
P0001,Toys,Lego
P0002,Clothing,FabIndia
P0003,Toys,Mattel
P0004,Groceries,India Gate
P0005,Electronics,Samsung
P0006,Toys,Mattel
P0007,Furniture,Pepperfry
P0008,Clothing,Raymond
P0009,Toys,Hamleys
P0010,Furniture,Pepperfry
P0011,Furniture,Nilkamal
P0012,Toys,Funskool
P0013,Furniture,Godrej Interio
P0014,Electronics,Lenovo
P0015,Clothing,FabIndia
P0016,Furniture,Durian
P0017,Clothing,Peter England
P0018,Groceries,Tata Consumer
